building_id,damage_grade
11456,2
16528,2
3253,2
18614,2
1544,3
12568,1
15497,2
13987,2
9598,2
6668,2
4244,2
17420,2
5781,1
4570,1
15716,2
2401,2
6295,2
16204,2
10057,2
415,2
5642,3
8266,2
8645,2
7331,2
8214,1
10786,2
3729,2
6793,1
4895,2
3169,1
12492,2
10811,2
14233,3
13769,3
6595,2
16324,2
18336,2
5065,3
10985,2
3153,3
4908,2
19728,2
644,2
6096,3
7484,2
8829,2
6052,2
4218,1
11823,3
19005,2
7239,2
1841,2
4120,2
17580,2
8181,2
3835,2
8876,2
7915,2
14108,3
7716,2
6753,2
19206,2
2247,2
2655,2
17958,3
19483,3
8736,2
17843,2
9958,1
891,2
2782,2
1104,2
12143,2
12031,3
13667,2
8561,3
4385,3
2784,2
9119,2
3198,2
5674,2
2055,3
8018,2
4,2
7661,2
1332,2
7803,3
17122,2
11939,2
8222,2
14626,2
72,2
15675,2
7076,1
1463,2
2277,2
8069,2
11148,2
14480,1
3894,3
6636,2
12209,2
596,2
15216,2
9624,2
12787,2
18434,2
168,2
11635,3
2029,2
2036,2
14667,3
4476,2
343,2
1916,2
6016,2
9826,3
7763,2
7424,2
5213,2
19916,2
18485,2
16474,2
17514,3
18300,3
13375,2
9755,3
18787,2
12453,2
17640,2
3833,2
5953,2
7970,3
9726,2
14276,2
9262,2
15783,2
5743,2
16667,2
7639,3
18500,2
14459,1
10755,2
18726,2
88,2
3301,3
16581,3
19850,2
3095,3
11902,2
10488,2
9008,3
12656,3
18383,2
19246,2
18538,3
1288,3
15600,3
10610,3
16845,1
16622,2
11946,2
943,3
14095,2
5977,3
16685,2
19410,2
14958,2
10691,2
14955,2
811,2
6981,2
516,2
13622,3
8120,2
9628,2
5101,2
7719,1
14378,2
10902,2
9373,2
1602,2
14793,2
8094,2
3914,3
14310,2
18524,2
10434,2
1852,2
14277,2
2385,2
18580,2
4535,2
8161,2
9691,2
8410,3
1416,2
5717,2
17064,2
16865,2
16737,2
3946,2
12784,3
4696,2
201,2
18733,3
16101,2
8682,3
16125,2
8543,3
5369,2
9270,2
13848,2
19290,1
18863,2
9645,2
17560,2
10179,2
8735,1
19536,1
11056,2
18089,2
5902,3
14166,2
4806,2
14946,2
11652,2
3136,3
10349,2
17358,2
9355,2
6055,2
2802,2
134,2
10814,3
11749,3
3267,1
6632,2
5296,2
506,2
3844,2
12966,1
14032,2
837,1
19249,1
10069,2
17350,2
4380,1
6538,3
1390,3
5425,3
14478,3
10090,2
3561,2
12941,2
1270,2
11523,2
3294,3
5421,2
1360,2
14960,2
6654,2
6754,3
7535,2
2544,1
7353,2
8849,2
19223,2
14299,2
6707,2
9336,2
2061,2
4451,2
1070,2
9960,2
8136,3
18832,1
5197,2
11352,2
11033,2
10051,2
11793,2
6190,2
1295,2
4839,2
13828,1
18796,2
14128,3
3810,2
12660,3
19014,2
16223,1
2834,3
3128,2
18144,2
3158,2
11153,3
19827,2
5114,2
19671,3
490,2
2591,2
387,3
11471,2
4838,2
7268,3
12529,3
12124,2
10829,3
13423,2
13355,2
7935,2
19776,2
10888,2
3308,2
3057,2
17060,2
16175,2
19793,3
11846,3
4316,3
5529,2
5398,3
15664,2
6882,3
736,2
16800,2
332,3
16242,2
1539,3
15144,3
9428,2
1901,2
10032,2
14859,2
12626,2
10308,1
4286,2
6187,2
15546,1
18801,2
938,2
4403,2
5085,1
19583,2
1181,2
5252,2
6279,2
2573,2
2404,2
6560,3
10257,3
9602,3
11659,3
625,2
12024,2
17295,2
7290,3
15483,1
5988,3
15079,2
19881,2
7622,2
4235,2
16262,3
5853,3
455,2
5220,2
1225,3
14688,2
17185,2
4386,3
4774,2
10850,2
7205,2
370,2
14455,3
15457,2
11930,2
17562,3
6332,2
19036,2
13225,2
15919,3
3994,3
15298,3
2164,2
9506,2
10574,2
2590,2
5360,2
8767,2
4674,1
4473,3
4640,2
4885,2
4281,2
16531,2
391,2
1637,2
9203,2
14864,3
7459,2
859,3
16656,2
12396,2
12155,2
16003,1
19937,2
13405,2
4530,2
18173,3
10922,2
5056,2
9174,2
14460,2
18128,2
14449,2
18548,2
17807,3
15754,2
14533,2
17159,2
13872,2
5373,2
12963,2
1691,3
19752,1
11404,3
2552,2
13465,3
18544,2
14226,3
15566,2
12535,2
13190,2
4445,3
17342,2
9617,3
12542,2
12926,2
9089,3
10592,2
6394,3
9014,3
14492,3
11875,2
2836,2
8488,2
10778,2
13129,3
994,2
11839,2
9871,2
11934,2
3231,1
11034,2
11925,2
7450,2
4677,2
1428,2
18577,3
19278,2
6141,3
14440,3
6091,3
15744,2
7652,2
3345,2
13616,2
813,2
13978,3
12447,2
16476,3
3809,3
3565,3
19354,2
12010,3
18728,3
2217,2
18972,2
4668,3
292,2
13185,3
14021,2
14567,2
7231,2
4339,2
16485,2
8263,2
15828,2
5488,2
9676,2
19935,2
11499,1
5514,2
14693,1
8096,3
15672,2
10353,2
17394,2
4933,2
4685,2
18607,2
7,2
12344,2
2893,1
3899,3
3543,2
8363,2
9710,3
662,2
13765,2
5994,3
6619,1
17610,2
10419,3
8567,1
1921,3
9142,1
16248,2
16450,3
7638,2
16818,2
8400,2
19171,3
8110,2
18740,3
11900,2
19619,3
5962,2
19990,2
1953,2
19064,2
6967,2
11188,2
6951,3
8297,2
4173,2
16719,2
17547,3
18341,2
15085,2
17096,3
9532,2
2877,3
2937,2
8996,3
8067,3
8327,2
18650,2
11357,2
14349,3
5309,2
10891,2
1998,2
19836,2
5752,2
